DocType: Employee,Salary Mode,طريقة تحصيل الراتب
DocType: Employee,Divorced,مطلق
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py +84,Warning: Same item has been entered multiple times.,تحذير: تم إدخال الصنف نفسه عدة مرات
apps/erpnext/erpnext/hub_node/doctype/hub_settings/hub_settings.py +96,Items already synced,البنود متزامنة بالفعل
DocType: Buying Settings,Allow Item to be added multiple times in a transaction, السماح للصنف بإضافته أكثر من مرة فى نفس المعاملة
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py +33,Cancel Material Visit {0} before cancelling this Warranty Claim,الغاء زيارة موقع المطالبه {0} قبل إلغاء هذه المطالبه بالضمان
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +19,Consumer Products,منتجات إستهلاكية
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.js +68,Please select Party Type first,ًبرجاء إختيار نوع الحزب أولا
DocType: Item,Customer Items,أصناف العميل
DocType: Project,Costing and Billing,حساب التكاليف و الفوترة
apps/erpnext/erpnext/accounts/doctype/account/account.py +52,Account {0}: Parent account {1} can not be a ledger,(حساب {0}: حساب رئيسي {1} لا يمكنه أن يكون دفتر حسابات (دفتر أستاذ
DocType: Item,Publish Item to hub.erpnext.com,نشر البند إلى hub.erpnext.com
apps/erpnext/erpnext/config/setup.py +88,Email Notifications,إشعارات البريد الإلكتروني
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py +22,Evaluation,تقييم
DocType: Item,Default Unit of Measure,وحدة القياس الافتراضية
DocType: SMS Center,All Sales Partner Contact,بيانات الإتصال لكل شركاء البيع
DocType: Employee,Leave Approvers,من لهم حق الموافقون علي الأجازات
DocType: Sales Partner,Dealer,موزع
DocType: Employee,Rented,مؤجر
DocType: Purchase Order,PO-,PO-
DocType: POS Profile,Applicable for User,متاح للتطبيق للمستخدم
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.py +193,"Stopped Production Order cannot be cancelled, Unstop it first to cancel","لا يمكن الغاء اوامر الانتاج المتوقفه, فم بألغاء الايقاف أولا حتى تتمكن من الالغاء"
DocType: Vehicle Service,Mileage,عدد الأميال
apps/erpnext/erpnext/accounts/doctype/asset/asset.js +231,Do you really want to scrap this asset?,هل تريد حقا تخريد هذا الأصل؟
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js +48,Select Default Supplier,إختار المورد الافتراضي
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py +37,Currency is required for Price List {0},العملة مطلوبة لقائمة الأسعار {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,.سيتم احتسابه في المعاملة
DocType: Address,County,البلد
DocType: Purchase Order,Customer Contact,معلومات الأتصال بالعميل
apps/erpnext/erpnext/schools/doctype/program_enrollment_tool/program_enrollment_tool.py +16,Mandatory feild - Program,حقل إلزامي - برنامج
DocType: Job Applicant,Job Applicant,طالب العمل
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py +6,This is based on transactions against this Supplier. See timeline below for details,ويستند هذا على المعاملات مقابل هذا المورد. انظر الاطار الزمني أدناه للاطلاع على التفاصيل
apps/erpnext/erpnext/hub_node/page/hub/hub_body.html +18,No more results.,.لا مزيد من النتائج
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +34,Legal,قانونية
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js +166,Actual type tax cannot be included in Item rate in row {0},نوع الضريبه الفعليه لا يمكن تضمينها في معدل قيمة الصنف في الصف {0}
DocType: C-Form,Customer,العميل
DocType: Purchase Receipt Item,Required By,مطلوب من قبل
DocType: Delivery Note,Return Against Delivery Note,إعادة أو رد مقابل إذن تسليم
DocType: Department,Department,ادارةأو قسم
DocType: Purchase Order,% Billed,% تم إصدار الفاتورة
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py +43,Exchange Rate must be same as {0} {1} ({2}),سعر صرف العملة لازم يكون مثل {0} {1} ({2})
DocType: Sales Invoice,Customer Name,إسم العميل
DocType: Vehicle,Natural Gas,غاز طبيعي
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py +130,Bank account cannot be named as {0},لا يمكن تسمية الحساب المصرفي مثل {0}
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,.حسابات الأستاذ أو المجموعات المقابلة لأي قيود محاسبية تم إدخالها و حفظها
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +192,Outstanding for {0} cannot be less than zero ({1}),المستحق أو المتبقي لـ {0} لا يمكن ان يكون أقل من الصفر ({1})
DocType: Manufacturing Settings,Default 10 mins,الوضع الأفتراضي 10 دقائق
DocType: Leave Type,Leave Type Name,إسم نوع الأجازه
apps/erpnext/erpnext/templates/pages/projects.js +63,Show open,مفتوح
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py +150,Series Updated Successfully,تم تحديث سلسلة الترقيم بنجاح
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html +18,Checkout,شراء
DocType: Pricing Rule,Apply On,طبق على
DocType: Item Price,Multiple Item prices.,.أسعار أصناف متعدده
,Purchase Order Items To Be Received,أمر شراء أصناف سيتم استلامها
DocType: SMS Center,All Supplier Contact,بيانات الإتصال لجميع الموردين
